Name,Protein,Fat,Link
15 Satisfying Breakfast Casseroles With Ham,NA,NA,https://www.allrecipes.com/gallery/breakfast-casserole-recipes-with-ham/
15 Quick and Easy Breakfast Casseroles for Busy Mornings,NA,NA,https://www.allrecipes.com/gallery/easy-breakfast-casseroles/
11 Baked French Toast Casseroles That Make Brunch Easy,NA,NA,https://www.allrecipes.com/gallery/baked-french-toast-casserole-recipes/
11 Easy Hashbrown Casseroles for Potato Lovers,NA,NA,https://www.allrecipes.com/gallery/easy-hashbrown-casserole-recipes/
10 Breakfast Casserole Recipes That Start With Refrigerated Crescent Rolls,NA,NA,https://www.allrecipes.com/crescent-roll-breakfast-casserole-recipes-8745333
Croque Monsieur Casserole,30g,52g,https://www.allrecipes.com/croque-monsieur-casserole-recipe-8714012
Brioche French Toast Casserole,9g,21g,https://www.allrecipes.com/brioche-french-toast-casserole-recipe-8634275
Chorizo Breakfast Casserole,23g,50g,https://www.allrecipes.com/chorizo-breakfast-casserole-recipe-8634313
The Ultimate Brunch Casserole,38g,71g,https://www.allrecipes.com/the-ultimate-brunch-casserole-recipe-8624537
Breakfast Crunchwrap Casserole,36g,52g,https://www.allrecipes.com/breakfast-crunchwrap-casserole-recipe-8623349
Croissant French Toast Bake,9g,19g,https://www.allrecipes.com/croissant-french-toast-bake-recipe-8415810
Slow Cooker Overnight Ham and Cheese Breakfast Casserole,32g,32g,https://www.allrecipes.com/slow-cooker-overnight-ham-and-cheese-breakfast-casserole-recipe-7372845
The Simple Way to Turn Leftover Baked Goods into a Decadent Breakfast,NA,NA,https://www.allrecipes.com/leftover-baked-goods-breakfast-7368822
Overnight Matzo Bake,10g,9g,https://www.allrecipes.com/recipe/8465380/overnight-matzo-bake/
Easy French Toast Casserole,10g,17g,https://www.allrecipes.com/recipe/240502/easy-french-toast-casserole/
Our Top 20 Breakfast Casserole Recipes for Your 9x13 Dish,NA,NA,https://www.allrecipes.com/best-9x13-breakfast-casseroles-8744958
"Spinach, Sausage, and Egg Casserole",19g,17g,https://www.allrecipes.com/recipe/241924/spinach-sausage-and-egg-casserole/
Cheesy Amish Breakfast Casserole,22g,23g,https://www.allrecipes.com/recipe/229150/cheesy-amish-breakfast-casserole/
