Name,Protein,Fat,Link
Clean Banana Oat Cookies,2g,1g,https://www.allrecipes.com/recipe/254832/clean-banana-oat-cookies/
"High-Fiber, High-Protein Breakfast Bars",6g,8g,https://www.allrecipes.com/recipe/231925/high-fiber-high-protein-breakfast-bars/
Blueberry Oatmeal Breakfast Bars,8g,16g,https://www.allrecipes.com/recipe/245913/blueberry-oatmeal-breakfast-bars/
Strawberry Oatmeal Breakfast Bars,4g,13g,https://www.allrecipes.com/recipe/280321/strawberry-oatmeal-breakfast-bars/
Whole Grain Breakfast Cookies,5g,16g,https://www.allrecipes.com/recipe/218671/whole-grain-breakfast-cookies/
Jumbo Breakfast Cookies,6g,14g,https://www.allrecipes.com/recipe/144059/jumbo-breakfast-cookies/
Applesauce Oatmeal Bites,5g,3g,https://www.allrecipes.com/recipe/259308/applesauce-oatmeal-bites/
Spicy Zucchini Oatmeal Cookies,1g,3g,https://www.allrecipes.com/recipe/218581/spicy-zucchini-oatmeal-cookies/
Oatmeal Breakfast Cookies,3g,3g,https://www.allrecipes.com/recipe/268399/oatmeal-breakfast-cookies/
Breakfast Brownies,3g,4g,https://www.allrecipes.com/recipe/228020/breakfast-brownies/
Oatmeal Energy Bars,2g,6g,https://www.allrecipes.com/recipe/241170/oatmeal-energy-bars/
Banana Wake-Up Bars,3g,5g,https://www.allrecipes.com/recipe/214695/banana-wake-up-bars/
Bacon Oatmeal Breakfast Cookies With Maple Glaze,4g,8g,https://www.allrecipes.com/recipe/218926/bacon-oatmeal-breakfast-cookies-with-maple-glaze/
Banana Breakfast Cookies,3g,1g,https://www.allrecipes.com/recipe/275809/banana-breakfast-cookies/
Chocolate Chip Breakfast Cookies,5g,5g,https://www.allrecipes.com/recipe/262504/chocolate-chip-breakfast-cookies/
Blueberry Banana Breakfast Bars,7g,10g,https://www.allrecipes.com/recipe/244285/blueberry-banana-breakfast-bars/
Healthier Carrot Oatmeal Cookies,3g,9g,https://www.allrecipes.com/recipe/278732/healthier-carrot-oatmeal-cookies/
Clean Breakfast Cookies,2g,2g,https://www.allrecipes.com/recipe/242034/clean-breakfast-cookies/
"Sausage, Egg, and Cheese Breakfast Cookies",7g,9g,https://www.allrecipes.com/recipe/8511432/sausage-egg-and-cheese-breakfast-cookies/
Easy Oatmeal-Banana Breakfast Cookies,2g,3g,https://www.allrecipes.com/recipe/275807/easy-oatmeal-banana-breakfast-cookies/
Best Breakfast Cookie,4g,3g,https://www.allrecipes.com/recipe/26107/best-breakfast-cookie/
Nutella® Biscotti,2g,6g,https://www.allrecipes.com/recipe/283066/nutella-biscotti/
Low Fat Breakfast Cookies,6g,5g,https://www.allrecipes.com/recipe/228017/low-fat-breakfast-cookies/
Carnation Breakfast Chocolate Craver's Delight Cookies,1g,6g,https://www.allrecipes.com/recipe/267360/carnation-breakfast-chocolate-cravers-delight-cookies/
Too Busy for Breakfast? Try One of Our Best Make-Ahead Breakfast Cookies,NA,NA,https://www.allrecipes.com/gallery/make-ahead-breakfast-cookies/
Gingerbread Granola Bars,3g,9g,https://www.allrecipes.com/recipe/245262/gingerbread-granola-bars/
Instant Oatmeal Breakfast Cookies,1g,3g,https://www.allrecipes.com/recipe/276874/instant-oatmeal-breakfast-cookies/
Easy Peanut Butter Protein Cookies,6g,5g,https://www.allrecipes.com/recipe/280761/easy-peanut-butter-protein-cookies/
Rice Breakfast Bars,8g,10g,https://www.allrecipes.com/recipe/244300/rice-breakfast-bars/
Monster Breakfast Cookies,6g,16g,https://www.allrecipes.com/recipe/228504/monster-breakfast-cookies/
Soft and Chewy Chocolate-Banana Oat Bars,6g,12g,https://www.allrecipes.com/recipe/267365/soft-and-chewy-chocolate-banana-oat-bars/
Granola Breakfast Cookies,3g,8g,https://www.allrecipes.com/recipe/276675/granola-breakfast-cookies/
Pumpkin Spice Protein Breakfast Cookie,25g,3g,https://www.allrecipes.com/recipe/267563/pumpkin-spice-protein-breakfast-cookie/
Banana-Oatmeal Breakfast Cookies,2g,1g,https://www.allrecipes.com/recipe/276671/banana-oatmeal-breakfast-cookies/
Honey Granola Breakfast Bars,6g,17g,https://www.allrecipes.com/recipe/258327/honey-granola-breakfast-bars/
Almond Chia Breakfast Bars,6g,15g,https://www.allrecipes.com/recipe/244257/almond-chia-breakfast-bars/
Luciana's Breakfast Oatmeal Cookies,3g,4g,https://www.allrecipes.com/recipe/273652/lucianas-breakfast-oatmeal-cookies/
Chocolate Lava Power Cookie,4g,10g,https://www.allrecipes.com/recipe/267597/chocolate-lava-power-cookie/
Maple Nut Granola Cookies,3g,9g,https://www.allrecipes.com/recipe/268692/maple-nut-granola-cookies/
Chocolate Almond Coconut Breakfast Bars,7g,10g,https://www.allrecipes.com/recipe/241345/chocolate-almond-coconut-breakfast-bars/
