Name,Protein,Fat,Link
Bloody Maria,1g,1g,https://www.allrecipes.com/bloody-maria-recipe-8730420
Bloody Caesar,3g,1g,https://www.allrecipes.com/bloody-caesar-recipe-8730391
Al's Bloody Marys,1g,0g,https://www.allrecipes.com/recipe/259169/als-bloody-marys/
Dill Pickle Bloody Mary,11g,6g,https://www.allrecipes.com/recipe/272853/dill-pickle-bloody-mary/
True Wisconsin Bloody Mary,NA,NA,https://www.allrecipes.com/recipe/161632/true-wisconsin-bloody-mary/
Beet Smoothie,5g,15g,https://www.allrecipes.com/recipe/264158/sweet-beet-smoothie/
10 Make-Ahead Smoothies the Whole Family Will Love,NA,NA,https://www.allrecipes.com/article/make-ahead-smoothies-customized-smoothies-family-fun/
Peanut Butter Banana Smoothie,13g,19g,https://www.allrecipes.com/recipe/221261/peanut-butter-banana-smoothie/
Blueberry Smoothie,10g,4g,https://www.allrecipes.com/recipe/215184/blueberry-smoothie/
Chocolate Banana Peanut Butter Protein Shake,31g,23g,https://www.allrecipes.com/recipe/244959/chocolate-banana-peanut-butter-protein-shake/
Fruit and Yogurt Smoothie,5g,1g,https://www.allrecipes.com/recipe/215189/fruit-and-yogurt-smoothie/
Breakfast Margarita,4g,1g,https://www.allrecipes.com/breakfast-margarita-recipe-8742323
Strawberry Oatmeal Breakfast Smoothie,7g,4g,https://www.allrecipes.com/recipe/23539/strawberry-oatmeal-breakfast-smoothie/
Pineapple and Banana Smoothie,3g,1g,https://www.allrecipes.com/recipe/138159/pineapple-and-banana-smoothie/
Basic Fruit Smoothie,2g,1g,https://www.allrecipes.com/recipe/23553/basic-fruit-smoothie/
B and L's Strawberry Smoothie,6g,1g,https://www.allrecipes.com/recipe/20792/b-and-ls-strawberry-smoothie/
How to Make a Cafe Latte,4g,3g,https://www.allrecipes.com/recipe/96629/cafe-latte/
Iced Caramel Macchiato,6g,4g,https://www.allrecipes.com/recipe/258686/iced-caramel-macchiato/
Old-Fashioned Swedish Glögg,NA,NA,https://www.allrecipes.com/recipe/180453/old-fashioned-swedish-glogg/
Horchata,3g,1g,https://www.allrecipes.com/recipe/141828/lolas-horchata/
Strawberry Banana Protein Smoothie,21g,8g,https://www.allrecipes.com/recipe/160708/strawberry-banana-protein-smoothie/
Pineapple Cleanser Smoothie,5g,1g,https://www.allrecipes.com/recipe/236413/pineapple-cleanser-smoothie/
Spinach and Kale Smoothie,10g,14g,https://www.allrecipes.com/recipe/236951/spinach-and-kale-smoothie/
Healthy Chocolate Smoothie,8g,7g,https://www.allrecipes.com/recipe/245061/healthy-chocolate-smoothie/
Kale and Banana Smoothie,12g,7g,https://www.allrecipes.com/recipe/173730/kale-and-banana-smoothie/
20 Breakfast Smoothie Recipes to Start Your Day the Healthy Way,NA,NA,https://www.allrecipes.com/gallery/breakfast-smoothie-recipes/
"Banana, Avocado, and Spinach Smoothie",4g,8g,https://www.allrecipes.com/recipe/241365/banana-avocado-and-spinach-smoothie/
The Best Post-Workout Shake,29g,17g,https://www.allrecipes.com/recipe/245163/the-best-post-workout-shake/
Kiwi Strawberry Smoothie,4g,1g,https://www.allrecipes.com/recipe/77035/kiwi-strawberry-smoothie/
Vanilla Latte,10g,6g,https://www.allrecipes.com/recipe/146963/vanilla-latte/
Eggnog Latte,9g,15g,https://www.allrecipes.com/recipe/146962/eggnog-latte/
Matcha Frappé,8g,6g,https://www.allrecipes.com/recipe/242396/matcha-frappe/
Pumpkin Spice Coffee,1g,1g,https://www.allrecipes.com/recipe/216441/pumpkin-spice-coffee/
Orange Banana Smoothie,9g,3g,https://www.allrecipes.com/recipe/32448/orange-banana-smoothie/
Strawberry Banana Protein Shake,26g,5g,https://www.allrecipes.com/recipe/244960/strawberry-banana-protein-shake/
Filipino Avocado Milkshake,8g,19g,https://www.allrecipes.com/recipe/139425/filipino-avocado-milkshake/
Strawberry Banana Peanut Butter Smoothie,16g,19g,https://www.allrecipes.com/recipe/150121/strawberry-banana-peanut-butter-smoothie/
Strawberry Raspberry Smoothie,12g,5g,https://www.allrecipes.com/recipe/231749/strawberry-raspberry-smoothie/
"Cocoa, Banana, and Peanut Butter Smoothie",18g,22g,https://www.allrecipes.com/recipe/244224/healthy-cocoa-banana-pb-smoothie/
POG Juice,1g,0g,https://www.allrecipes.com/recipe/272512/pog-juice/
Simple Summer Smoothie,4g,1g,https://www.allrecipes.com/recipe/172463/simple-summer-smoothie/
Spicy Bloody Mary Mix,2g,0g,https://www.allrecipes.com/recipe/214771/spicy-bloody-mary-mix/
Apple Banana Smoothie,2g,1g,https://www.allrecipes.com/recipe/20610/apple-banana-smoothie/
Peanut Butter Strawberry Smoothie,18g,20g,https://www.allrecipes.com/recipe/236205/peanut-butter-strawberry-smoothie/
Flax Seed Smoothie,8g,8g,https://www.allrecipes.com/recipe/161325/flax-seed-smoothie/
